['', '', '', '', '', '', 1.3, 1.3, 1.4, 1.4, 1.3, 1.3, 1.4, 1.4]
['', '', '', '', '', '', 100.0, 200.0, 100.0, 200.0, 100.0, 200.0, 100.0, 200.0]
['', '', '', '', '', '', 1.2, 1.4, 1.2, 1.4, 1.4, 1.2, 1.4, 1.2]
['', '', '', '', '', '', 90000.0, 110000.0, 110000.0, 90000.0, 90000.0, 110000.0, 110000.0, 90000.0]
['', '', '', '', '', '', 0.8, 0.82, 0.82, 0.8, 0.82, 0.8, 0.8, 0.82]
[100000.0, 0.5, 1, 0.0127, 10000000.0, 1, 1387.2436598587933, 1470.6099953134421, 1466.4482733933144, 1379.3498799752622, 1470.615089284242, 1387.2382569750423, 1379.3553115928537, 1466.4431758140645, 61.82076500539427]
[100000.0, 0.75, 1.25, 0.019525, 32500000.0, 2, 4168.50852985081, 4876.510257994857, 4781.137409676264, 4028.5948642803833, 4876.513349831045, 4168.504793291871, 4028.598746995133, 4781.134243284248, 71.65446956175694]
[100000.0, 1, 1.5, 0.02635, 55000000.0, 3, 7137.5162169113055, 10078.081282760264, 9115.136996066978, 6447.146858846627, 10078.083467441062, 7137.5128932527105, 6447.150616861047, 9115.134623741726, 76.60422387231361]
[100000.0, 1.25, 1.75, 0.033174999999999996, 77500000.0, 4, 8010.562565966831, 11685.543802738921, 9513.147580825309, 6930.364031991554, 11685.546412677726, 8010.55833985607, 6930.368973209682, 9513.144102765207, 77.38522145716536]
[100000.0, 1.5, 2, 0.04, 100000000.0, 5, 7110.07161253515, 9502.203513917517, 7785.661814053093, 5965.59952919675, 9502.208112431175, 7110.065383366799, 5965.606993930312, 7785.656144110023, 75.99447231599407]
[15075000.0, 0.5, 1.25, 0.02635, 77500000.0, 5, 7568.875091158149, 8753.392690590059, 8438.969204772906, 7242.108699447773, 8753.396832462184, 7568.869678848964, 7242.114548033731, 8438.964759972025, 76.73561691923534]
[15075000.0, 0.75, 1.5, 0.033174999999999996, 100000000.0, 1, 4934.581151856296, 5617.768052132664, 5201.699013230652, 4697.688769141625, 5617.7705828005855, 4934.578191484962, 4697.691885824821, 5201.69623003567, 72.86716789445637]
[15075000.0, 1, 1.75, 0.04, 10000000.0, 2, 2636.391905601849, 2931.608017182966, 2824.2581941132394, 2587.8442408271612, 2931.62034714308, 2636.378671691414, 2585.816797800478, 2824.2455588343, 67.48736389593306]
[15075000.0, 1.25, 2, 0.0127, 32500000.0, 3, 2956.2104644457204, 2994.5091256581914, 2993.706084151988, 2952.6710027205904, 2994.518456289923, 2956.200934084313, 2952.680549305381, 2993.696743954075, 68.21765079794369]
[15075000.0, 1.5, 1, 0.019525, 55000000.0, 4, 4936.2565087899875, 5312.305324719765, 5268.156976697665, 4866.230688770651, 5312.310799978591, 4936.25024726656, 4866.237121289772, 5268.151413856369, 72.87530595489218]
[30050000.0, 0.5, 1.5, 0.04, 32500000.0, 4, 6177.067626422341, 7033.046765645069, 6632.550564325496, 5932.336919918481, 7033.054895727223, 6177.0580449583895, 5932.346940491461, 6632.541779951157, 74.87795949977935]
[30050000.0, 0.75, 1.75, 0.0127, 55000000.0, 5, 3919.161497268842, 3954.8963102334046, 3954.3988295892714, 3916.5874441091223, 3954.9078681592505, 3919.149785484928, 3916.5991681894056, 3954.387270021806, 70.65200542197022]
[30050000.0, 1, 2, 0.019525, 77500000.0, 1, 3816.737717419084, 3929.903728424664, 3916.383497599936, 3789.7085065677793, 3929.907277270463, 3816.734050383168, 3789.712194495185, 3916.379934494593, 70.48627676791116]
[30050000.0, 1.25, 1, 0.02635, 100000000.0, 2, 6273.669885387259, 7034.777304437879, 6846.817360754971, 6096.17235074702, 7034.779896481669, 6273.666624072911, 6096.175789040865, 6846.814611383102, 75.04669012949557]
[30050000.0, 1.5, 1.25, 0.033174999999999996, 10000000.0, 3, 4214.933189736683, 4732.383767523794, 4597.507619746368, 4155.596980661104, 4732.392513352041, 4214.923019159763, 4155.607313291253, 4597.498494437091, 71.62921501874105]
[45025000.0, 0.5, 1.75, 0.019525, 100000000.0, 3, 6252.943779852742, 6449.074498667862, 6429.368127020104, 6212.613192786528, 6449.0793746490535, 6252.9386533428815, 6212.618365758724, 6429.363222582, 74.78337264184145]
[45025000.0, 0.75, 2, 0.02635, 10000000.0, 4, 5218.242344720627, 5490.249749334357, 5458.513121490806, 5198.102873856903, 5490.259536061454, 5218.231983838289, 5198.1132827799165, 5458.503260439516, 73.29534530752842]
[45025000.0, 1, 1, 0.033174999999999996, 32500000.0, 5, 6354.367047227325, 7275.004645445447, 7013.084676574495, 6230.250531597841, 7275.011268440564, 6354.358170078918, 6230.259742728038, 7013.077386375035, 75.24062468317827]
[45025000.0, 1.25, 1.25, 0.04, 55000000.0, 1, 3612.6314858043156, 3859.2937911524473, 3754.3238947169366, 3547.911474668197, 3859.298428375298, 3612.626638001512, 3547.916379790373, 3754.3191730866665, 70.08548697135762]
[45025000.0, 1.5, 1.5, 0.0127, 77500000.0, 2, 3700.3318265109137, 3725.647396935239, 3725.4952008845958, 3699.335852048087, 3725.6528349887144, 3700.326333534049, 3699.3413538315963, 3725.4897549378006, 70.14425915487163]
[60000000.0, 0.5, 2, 0.033174999999999996, 55000000.0, 2, 4521.470825681185, 4645.0507623836, 4622.801831040912, 4516.444324437367, 4645.057761583354, 4521.4637247930805, 4516.45143626567, 4622.794822254062, 71.95907737877252]
[60000000.0, 0.75, 1, 0.04, 77500000.0, 3, 7619.387964564535, 8373.65954512994, 8020.9378999305, 7402.828839761406, 8373.664551025457, 7619.382386709744, 7402.834596476512, 8020.932630256525, 76.62356120443735]
[60000000.0, 1, 1.25, 0.0127, 100000000.0, 4, 4459.697677996592, 4487.793073229927, 4485.769329117477, 4457.774711880619, 4487.801334607745, 4459.689345886971, 4457.783046371926, 4485.761066502167, 71.76199332107011]
[60000000.0, 1.25, 1.5, 0.019525, 10000000.0, 5, 5291.13133667645, 5447.157757775969, 5438.656247514177, 5284.956244102715, 5447.167498348131, 5291.121155494872, 5284.966447969856, 5438.646489089052, 73.34005707694698]
[60000000.0, 1.5, 1.75, 0.02635, 32500000.0, 1, 3120.092532745164, 3153.876533929285, 3152.180102054369, 3119.4611847674896, 3153.8816389443764, 3120.087406298658, 3119.4663114448394, 3152.174996365514, 68.67888206526604]
